latitude,longitude,landslide_trigger,landslide_setting,landslide_category
46.51108985,6.658183,rain,urban,landslide
25.51826286,91.9630294,mining,mine,landslide
45.53803931,-122.71858379,rain,natural_slope,landslide
47.4169527,-123.13174916,rain,above_road,mudslide
45.506282,-122.716574,rain,above_road,landslide
11.02032339,124.59238324,earthquake,,landslide
38.30334872,-120.67229881,rain,above_road,landslide
28.101232,83.405823,,natural_slope,landslide
33.17598419,75.81088889,rain,above_road,landslide
41.582475,41.662586,rain,above_road,landslide
13.77195072,124.26894321,tropical_cyclone,above_road,landslide
48.0243833,24.16620636,downpour,above_road,snow_avalanche
32.3071683,77.60234008,snowfall_snowmelt,above_road,landslide
37.73075352,-119.75644557,rain,above_road,rock_fall
27.82743132,93.62407259,rain,,landslide
7.896147,98.302934,rain,natural_slope,landslide
25.167803,92.019575,mining,mine,landslide
41.2047168,72.86009332,rain,above_river,landslide
46.71607814,-122.21321339,downpour,above_road,mudslide
35.08160909,72.97571516,downpour,above_road,landslide
53.40132316,-2.95215542,construction,urban,landslide
51.67903013,-2.02365216,rain,above_road,landslide
44.164338,-124.029762,rain,above_road,landslide
34.41015853,-119.71543999,rain,natural_slope,mudslide
25.132228,93.04681,rain,above_road,landslide
48.623821,-122.448275,rain,above_road,rock_fall
26.96437841,92.78260587,monsoon,above_road,landslide
48.130894,-116.479598,rain,below_road,landslide
10.329022,123.876998,rain,natural_slope,landslide
48.72678738,-122.3035053,freeze_thaw,above_road,landslide
33.25646771,75.77361313,snowfall_snowmelt,above_road,landslide
48.06938284,-123.77395349,rain,above_road,rock_fall
34.149216,-117.940183,rain,natural_slope,mudslide
26.66354481,94.62220277,rain,above_road,landslide
-11.930724,-76.70147,downpour,above_river,landslide
48.396267,37.844734,mining,mine,landslide
38.95349606,-119.84891755,snowfall_snowmelt,above_road,debris_flow
-37.267461,175.069486,downpour,deforested_slope,landslide
31.5124,78.1181,monsoon,above_river,rock_fall
29.5326,82.1482,downpour,,landslide
49.4109,-123.2403,,above_road,rock_fall
45.2122,-122.2282,,above_road,landslide
-18.115639,178.36266,rain,above_road,landslide
45.27076031,-123.83544316,rain,above_road,landslide
35.13748644,-120.60670818,downpour,above_road,mudslide
-37.839925,177.595887,rain,above_road,rock_fall
48.929,-122.037,rain,,mudslide
-8.5073,116.662,rain,,landslide
34.162,-118.05,rain,,mudslide
26.8572,88.3143,downpour,,landslide
9.29,123.226,downpour,,landslide
14.545,121.56,downpour,,landslide
34.0496,131.5729,downpour,,landslide
27.478,88.527,downpour,,landslide
-41.0528,145.9063,downpour,,complex
56.5692,-132.7348,downpour,,mudslide
35.1052,-85.3361,downpour,,mudslide
47.477798,-122.362716,rain,above_road,mudslide
10.395,123.9153,tropical_cyclone,,landslide
10.6073,124.9705,downpour,,landslide
42.9744,-124.01,downpour,,landslide
50.0023,-116.9044,downpour,,mudslide
-8.034706,112.61191,downpour,,landslide
22.35037081,91.83258101,continuous_rain,urban,landslide
23.16100191,105.42448925,downpour,natural_slope,landslide
26.1061808,91.85158907,downpour,,landslide
22.74955141,92.22099982,continuous_rain,,landslide
27.98531715,94.21263589,rain,above_road,landslide
2.02724068,112.65524693,,natural_slope,landslide
37.9532,-104.9848,rain,,mudslide
39.9377,69.5597,downpour,,mudslide
5.483,10.416,downpour,,landslide
-36.6184,146.8092,rain,above_road,debris_flow
23.7365,92.7146,downpour,,landslide
14.9489,108.3564,tropical_cyclone,,landslide
44.93,-115.72,downpour,,mudslide
-44.675943,167.940244,rain,above_road,landslide
32.62803,75.37123,rain,above_road,landslide
31.581485,78.412784,rain,above_road,landslide
34.1704,-118.011,downpour,,landslide
40.43368578,-105.34755232,,above_road,rock_fall
23.86469956,91.8949662,continuous_rain,natural_slope,landslide
44.51447151,-80.35294788,downpour,natural_slope,landslide
9.3059,125.8571,downpour,,landslide
37.7837,-122.5103,rain,below_road,landslide
37.5962,-121.9207,downpour,,landslide
37.513392,111.145575,rain,above_road,landslide
50.4525,-3.7112,,above_road,landslide
25.4749,93.1477,downpour,,landslide
14.4226,-90.6755,tropical_cyclone,,mudslide
37.4221,-82.0184,rain,,mudslide
15.3975,-91.9955,downpour,below_road,landslide
16.08793756,-96.40548584,tropical_cyclone,natural_slope,landslide
47.8638,-122.3337,,above_road,mudslide
38.045,-82.1423,rain,,mudslide
27.33861278,87.67107225,continuous_rain,above_road,landslide
13.90074546,74.66018578,rain,above_road,landslide
26.2753,94.6654,downpour,,landslide
15.598,107.8584,tropical_cyclone,,landslide
55.893,-2.2147,downpour,,landslide
45.5152,-122.3625,,above_road,landslide
28.52206817,84.07696086,,natural_slope,complex
12.8733,74.8481,rain,,landslide
1.9345,99.5577,continuous_rain,deforested_slope,landslide
41.60140744,72.67711817,rain,,landslide
-0.89966081,100.39349334,flooding,urban,landslide
6.26079274,80.49138664,continuous_rain,above_road,landslide
21.4936,104.5916,rain,,landslide
47.7174,-122.2791,downpour,,landslide
16.624,97.938,rain,,landslide
-28.08114457,153.10810193,continuous_rain,above_road,landslide
39.99062776,-120.94460055,rain,above_road,rock_fall
41.668594,-124.113265,freeze_thaw,below_road,landslide
34.3330795,-116.82978369,downpour,above_road,rock_fall
54.68714771,25.29081852,freeze_thaw,engineered_slope,landslide
39.39506856,68.54795417,rain,above_road,mudslide
25.06657276,93.9310888,downpour,above_road,landslide
28.06986667,83.65247597,continuous_rain,natural_slope,landslide
28.24831087,83.97447829,continuous_rain,above_river,landslide
22.77117591,103.48432778,downpour,,debris_flow
44.6677,-123.8171,,above_road,landslide
44.3695,-123.7092,,above_road,landslide
38.97831202,-107.34463775,,above_road,rock_fall
-22.8887,-43.0783,downpour,,landslide
5.58615871,101.4730959,rain,above_road,landslide
39.28434339,-119.657215,no_apparent_trigger,above_road,rock_fall
16.23854416,120.51718491,rain,above_road,rock_fall
18.126608,-76.453543,continuous_rain,below_road,landslide
48.26414063,-121.8777699,rain,natural_slope,landslide
47.468181,-122.156092,rain,above_road,landslide
-7.430433,110.297247,rain,,landslide
35.62608133,-82.52516919,leaking_pipe,above_road,mudslide
51.7579283,-3.79544685,rain,below_road,landslide
-37.63075881,176.04581746,continuous_rain,natural_slope,landslide
47.709553,-121.981233,rain,above_road,landslide
36.47237862,5.30793709,,,landslide
26.181606,91.772042,,urban,landslide
-31.13079318,-64.40894654,rain,above_road,rock_fall
47.05678021,8.10313411,rain,above_road,translational_slide
46.92628144,9.78885904,continuous_rain,other,debris_flow
47.2135035,8.58921855,,above_road,landslide
30.65160517,79.52008976,rain,above_road,rock_fall
43.2702813,-110.51874474,rain,above_road,mudslide
-25.92995941,153.11406273,,bluff,landslide
37.85640082,-82.41411196,,above_road,rock_fall
27.97999198,85.92966652,downpour,natural_slope,landslide
36.11529819,74.24484991,,engineered_slope,rock_fall
-0.93549212,35.44036262,downpour,,landslide
49.76737684,-119.74693497,other,above_road,mudslide
1.00470527,34.33198287,downpour,,landslide
11.64235289,78.13176899,downpour,deforested_slope,rock_fall
40.08986698,-80.90894754,downpour,above_road,debris_flow
51.32749936,-2.83833572,downpour,below_road,landslide
23.79260297,91.53090192,downpour,,landslide
23.71701896,91.61577214,downpour,,landslide
41.20366271,-7.54820904,continuous_rain,below_road,landslide
41.8174309,20.6321963,,,snow_avalanche
41.4779912,20.8548924,construction,,rock_fall
41.4011894,22.0500928,,,complex
41.1972551,22.2709849,rain,,rock_fall
41.067579,21.0770708,rain,,translational_slide
11.62513002,76.12122789,continuous_rain,natural_slope,landslide
22.88498245,93.51034916,,below_road,landslide
22.88500759,93.51746761,,below_road,landslide
18.71528742,94.69627226,,burned_area,landslide
18.71363177,94.71062358,,burned_area,landslide
18.75169725,94.67773756,,burned_area,landslide
18.75581697,94.67190448,,burned_area,landslide
18.73083014,94.68374009,,burned_area,landslide
18.71865173,94.67474717,,burned_area,landslide
18.72744834,94.67473172,,burned_area,landslide
18.71493996,94.69187445,,burned_area,landslide
18.71664715,94.68517674,,burned_area,landslide
18.71474347,94.71757399,,burned_area,landslide
18.72389628,94.70999171,,burned_area,landslide
18.7246754,94.72060775,,burned_area,landslide
18.72078339,94.72619138,,burned_area,landslide
18.73165108,94.68089393,,burned_area,landslide
18.74225775,94.67288106,,burned_area,landslide
18.6965825,94.68030765,,burned_area,landslide
18.69464442,94.68105089,,burned_area,landslide
18.70082837,94.6738944,,burned_area,landslide
18.72287947,94.68473128,,burned_area,landslide
18.72505444,94.68842577,,burned_area,landslide
18.71090799,94.72244785,,burned_area,landslide
18.71165083,94.72937945,,burned_area,landslide
18.73105803,94.71637224,,burned_area,landslide
18.73766181,94.68545496,,burned_area,landslide
18.73957585,94.68157493,,burned_area,landslide
18.76459884,94.74616486,,burned_area,landslide
18.75002789,94.698343,,burned_area,landslide
18.74777164,94.72382359,,burned_area,landslide
18.73218046,94.69218428,,burned_area,landslide
18.71750215,94.67784817,,burned_area,landslide
18.69876378,94.6998173,,burned_area,landslide
18.7006296,94.69553829,,burned_area,landslide
18.70052014,94.76490169,,burned_area,landslide
16.29079433,98.16029762,,,landslide
17.8858469,94.95570858,,burned_area,landslide
18.36499406,94.66155553,,,landslide
11.6067865,99.45435925,,,landslide
13.09879219,98.86537567,,,landslide
13.38487508,99.10595278,,,landslide
9.98576381,98.25555321,,,landslide
20.05545762,97.56368472,,,landslide
24.09201289,97.65411333,,,landslide
22.49038864,93.574335,,,landslide
22.12205993,94.42283644,,,landslide
20.82096841,92.83656142,,,landslide
20.78140987,93.15817162,,,landslide
20.77206739,93.16318176,,,landslide
20.74708761,93.16250885,,,landslide
20.76165307,93.13846842,,,landslide
